Input Size,JAX Execution Time (s),PyTorch Execution Time (s)
1,0.0429937339999924,0.01999821499975951
2,0.05737350099980176,0.03694683699995949
4,0.08157715800007281,0.07095655900002384
8,0.1380868599999303,0.13855110900021828
16,0.24908117699987997,0.27329207299999325
32,0.49178627900028005,0.5421332559999428
64,0.9735086030000275,1.0852803669999957
